TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BMLC11;105,87;0,780000;11,13;111,91;0,95;327.151,41;17,12;17,62;2,85;111.732.920,02;1.419,00;Ativa;998.405,00
BNFS11;118,91;1,258224;14,40;86,03;1,38;172.446,27;6,61;8,32;-1,65;60.222.284,32;5.209,00;Ativa;700.000,00
BPFF11;74,49;0,620000;10,00;78,05;0,95;386.263,63;5,48;2,84;-2,07;350.614.208,13;17.596,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;10.084,54;;;3,43;;;322.705.242,75;114,00;Ativa;32.000,00
BPML11;94,81;0,270465;0,57;121,16;0,78;490.002,43;6,44;;-1,53;521.584.863,93;1.338,00;Ativa;4.305.079,00
BPRP11;108,99;0,900000;9,97;124,49;0,88;12.524,00;0,15;4,53;-4,35;168.041.522,20;169,00;Passiva;1.349.837,00
BRCO11;125,90;0,990000;8,10;120,12;1,05;3.200.681,60;2,09;11,88;3,00;1.775.219.765,77;119.072,00;Ativa;14.778.781,00
BRCR11;60,74;0,410000;8,63;99,25;0,61;2.313.953,80;1,23;-2,48;-12,30;2.643.813.605,16;148.330,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;4,99;0,00;;271.522,64;;8,81;-2,34;0,00;320,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;70,31;1,23;;13,53;;;129.488.671,45;11,00;Ativa;1.841.677,00
BRIM11;1.014,03;20,140000;23,88;1.064,42;0,95;21.880,50;2,49;;;132.133.809,15;227,00;Ativa;124.137,00
BRIP11;1.000,00;13,930000;17,89;1.118,16;0,89;1.500,00;1,82;;;240.935.335,86;254,00;Ativa;215.475,00
BRIX11;0,00;;0,00;997,28;;;0,90;;;109.055.034,58;55,00;Ativa;109.352,00
BRLA11;143,00;1,120000;9,35;157,21;0,91;1.638,00;0,24;4,09;;558.507.177,89;276,00;Passiva;3.552.597,00
BROF11;57,14;0,560000;8,09;106,54;0,54;1.902.773,67;0,42;;;1.236.978.637,30;8.024,00;Ativa;11.610.812,00
BROL11;0,00;;0,00;;;;;;;;;;5.500.000,00
BRSE11;0,00;;0,00;3.667,55;;;16,99;;;7.335.103,13;12,00;Ativa;2.000,00
BTAL11;78,00;0,640000;11,62;104,54;0,75;978.116,47;2,62;;;625.413.908,80;45.828,00;Ativa;5.982.736,00
BTCI11;9,99;0,094000;12,23;10,39;0,96;2.159.765,50;14,19;4,15;-52,65;1.034.376.297,85;148.117,00;Ativa;99.521.172,00
BTCR11;88,00;0,900000;0,00;95,27;0,92;;8,00;32,78;-0,38;458.252.683,73;16.934,00;Ativa;4.810.097,00
BTHI11;44,99;0,428811;22,96;42,42;1,06;32.768,27;6,01;;-20,02;391.064.839,80;787,00;Ativa;9.218.512,00
BTHI12;45,00;0,560000;1,24;42,42;1,06;85.624,43;6,01;;-13,74;391.064.839,80;787,00;Ativa;9.218.512,00
BTLG11;103,52;0,810000;8,75;98,17;1,06;8.119.791,27;13,64;3,13;-1,80;2.797.081.387,01;266.471,00;Ativa;28.492.634,00
BTRA11;60,13;0,560000;14,28;106,55;0,56;376.897,63;8,32;;;358.491.432,27;21.022,00;Ativa;3.364.559,00
BTSG11;139,00;0,900000;7,71;145,24;0,96;20.975,71;0,78;;;112.561.858,43;94,00;Ativa;775.015,00
BTSI11;97,50;0,740000;8,88;114,50;0,85;98,67;0,06;;;278.218.996,22;114,00;Ativa;2.429.809,00
BTWR11;109,40;0,840000;6,08;111,65;0,98;109,00;1,22;;;90.354.803,21;72,00;Ativa;809.269,00
BVAR11;0,00;19,000000;0,00;999,80;;;0,73;-0,08;;625.412.820,40;67,00;Passiva;625.540,00
BZEL11;0,00;5,092421;0,00;143,37;;;0,03;;;507.236.753,73;3,00;Ativa;3.538.046,00
BZLI11;17,00;;0,00;10,41;1,63;198,33;0,29;;2,04;448.578.588,40;19,00;Ativa;43.072.979,00
CACR11;103,35;1,480000;16,90;100,99;1,02;1.390.755,73;11,76;6,36;-2,61;386.150.009,96;19.552,00;;3.823.767,00
CARE11;1,57;0,008385;0,00;8,28;0,19;23.868,50;0,02;;-23,45;296.188.994,04;11.725,00;Ativa;35.769.919,00
CBOP11;31,98;0,120000;4,50;71,62;0,45;14.781,52;1,33;-43,54;-24,20;101.347.200,88;3.122,00;Passiva;1.415.000,00
CCLB11;0,00;;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
CCME11;108,20;0,900000;10,02;107,85;1,00;2.111,87;13,88;;;590.198.727,47;158,00;Ativa;5.472.579,00
CCRF11;92,50;0,632531;8,70;93,23;0,99;1.276,82;3,10;;;146.548.498,31;317,00;Ativa;1.571.900,00
CEOC11;47,35;0,470927;14,18;72,87;0,65;51.121,47;2,49;7,16;-12,22;132.301.201,68;4.974,00;Passiva;1.815.696,00
CFHI11;610,00;3,646900;0,60;620,84;0,98;5.307.000,00;1,40;;;58.731.783,25;54,00;Ativa;94.600,00
CFII11;0,00;64,600000;0,00;1.010,89;;;17,39;;;101.730.077,76;59,00;Ativa;100.634,00
CIXR11;0,00;;0,00;;;;;;;;;;2.834.551,00
CJCT11;67,99;0,490000;2,02;71,83;0,95;46.036,04;1,42;;4,26;225.553.931,67;1.073,00;Passiva;3.140.000,00
CJFI11;0,00;;0,00;2,83;;;3,77;;;268.242.396,93;1,00;Ativa;94.711.593,00
